n_samples,Eps_modes,Algorithm,ARI,Std_ARI,NMI,Std_NMI,MSE,Std_MSE,Mean_Runtime(s),Std_Runtime(s),Silverman_h
2000,0.1,DP-KMeans,0.4713324698161225,0.14668784860391731,0.6112439088121302,0.12813421792911367,1.6711632600386754,0.6968201164675428,0.008047592639923096,0.0002343997737067638,1.555591115325108
2000,0.2,DP-GRAMS-C,0.6813961631254297,0.032002248496900296,0.7954872664615057,0.04191223656956794,1.1860097922310502,1.1557559607603523,0.05445628166198731,0.00011960232341024369,1.555591115325108
2000,0.2,DP-KMeans,0.5992864487550774,0.09317135743300786,0.7093877916833787,0.09730601878540467,1.2392979825873942,0.5191436641899883,0.007847237586975097,0.00023310003311868008,1.555591115325108
2000,0.5,DP-GRAMS-C,0.6969393474822776,0.022541468963397683,0.771141668588079,0.015537664925493652,0.06763201647109848,0.03154174642098766,0.054749023914337155,0.001263198409761583,1.555591115325108
2000,0.5,DP-KMeans,0.6815428763642062,0.029714325316549682,0.796399173697334,0.04077592386378911,0.6795393172201347,0.4702674457973473,0.007944345474243164,0.0002721624438506107,1.555591115325108
2000,1.0,DP-GRAMS-C,0.7035752749321559,0.030117041440319542,0.7782417155874172,0.01232937558487967,0.10501392489979278,0.28033602449651185,0.05486742258071899,0.0006725864170079463,1.555591115325108
2000,1.0,DP-KMeans,0.6819167376318152,0.06792513679826845,0.7876500704517841,0.06142782905898124,0.5179709973771152,0.6168187118209029,0.008046603202819825,0.00039820329625617733,1.555591115325108
2000,5.0,DP-GRAMS-C,0.7065499106657075,0.03007895971432948,0.7791104363230601,0.011259045059906242,0.10195511903083583,0.28953269724388925,0.05596684217453003,0.0013577306240474497,1.555591115325108
2000,5.0,DP-KMeans,0.6865892700023473,0.027225731190853437,0.7964265718590046,0.02523304310663372,0.5117175405943234,0.5428490377255702,0.023311030864715577,0.0003056160329441492,1.555591115325108
5000,0.1,DP-GRAMS-C,0.9707406017009633,0.09131950207730999,0.9787012090427902,0.059560527498825545,0.07253499573807495,0.13804810134711407,0.23172532320022582,0.0023889665987967146,1.8596466051382041
5000,0.1,DP-KMeans,0.7304819789070472,0.12309649240610145,0.8311938217517658,0.07719036082653764,1.1020264951355394,0.47991812415086677,0.010771834850311279,0.0013799287071383985,1.8596466051382041
5000,0.2,DP-GRAMS-C,0.9993866507513778,0.00031292787083040367,0.9986947774468253,0.0005812565116536034,0.009934754103810959,0.006081028593471827,0.23607254028320312,0.0047042814813521745,1.8596466051382041
5000,0.2,DP-KMeans,0.8102070889678477,0.1614843295625801,0.8783775801871325,0.0989992503718472,0.5198527596865338,0.4226766808605889,0.010898435115814209,0.0015201341965526242,1.8596466051382041
5000,0.5,DP-GRAMS-C,0.9994665599288661,0.0,0.9988269592056513,0.0,0.002597871880546149,0.001270725311325608,0.2336854577064514,0.004846647339095641,1.8596466051382041
5000,0.5,DP-KMeans,0.9085448261239899,0.13284813101058765,0.9386816603669288,0.08342355857921928,0.28096978145582463,0.42801526541045315,0.014372313022613525,0.00045398812900060567,1.8596466051382041
5000,1.0,DP-GRAMS-C,0.9994665599288661,0.0,0.9988269592056513,0.0,0.0007635299039088551,0.00045762015432586806,0.2331315279006958,0.0039063340681902555,1.8596466051382041
5000,1.0,DP-KMeans,0.9332972456235025,0.10796784554829635,0.9525190103495103,0.06759732467588109,0.2388397587173921,0.36741805418628753,0.026139068603515624,0.0003951076336523906,1.8596466051382041
5000,5.0,DP-GRAMS-C,0.9994665599288661,0.0,0.9988269592056513,0.0,0.00020101295812691885,0.00012011862074571361,0.2371337294578552,0.006723536350667651,1.8596466051382041
5000,5.0,DP-KMeans,0.9457726939536393,0.13119597510530379,0.9693268944360446,0.07206712171405259,0.13554763239550227,0.325214288551685,0.029754698276519775,0.0004580695589746631,1.8596466051382041
