n_samples,epsilon,run_idx,data_seed,dp_seed,pms_mse,pms_runtime_s,dp_mse,dp_runtime_s,timestamp
2000,1.0,1,250010001,270010001,0.0,0.39515341608785093,0.011037691168524127,0.8354188750963658,2026-03-07 20:16:15
2000,1.0,3,250010003,270010003,0.0,0.4270856250077486,0.005366260630336716,0.8318880409933627,2026-03-07 20:16:15
2000,1.0,4,250010004,270010004,0.0,0.41995570808649063,0.006996951080120613,0.8919411250390112,2026-03-07 20:16:15
2000,1.0,0,250010000,270010000,0.0,0.42002220801077783,0.00781152166507379,0.8600555411539972,2026-03-07 20:16:15
2000,1.0,7,250010007,270010007,0.0,0.4187789170537144,0.004014474247565184,0.9548050418961793,2026-03-07 20:16:15
2000,1.0,5,250010005,270010005,0.0,0.3996119168587029,0.00602731789031017,0.9380027500446886,2026-03-07 20:16:15
2000,1.0,6,250010006,270010006,0.0,0.44041375000961125,0.007447546815274807,0.8230647090822458,2026-03-07 20:16:15
2000,1.0,2,250010002,270010002,0.0,0.41664125001989305,0.023035903526442754,0.8290933328680694,2026-03-07 20:16:15
2000,1.0,10,250010010,270010010,0.0,0.45395770808681846,0.00423133766904021,0.7721119578927755,2026-03-07 20:16:17
2000,1.0,9,250010009,270010009,0.0,0.3926258331630379,0.0045077882231020034,0.7862006248906255,2026-03-07 20:16:17
2000,1.0,11,250010011,270010011,0.0,0.4362072909716517,0.002916798389159052,0.8696791669353843,2026-03-07 20:16:17
2000,1.0,14,250010014,270010014,0.0,0.43171829101629555,0.003977284466054049,0.8213941662106663,2026-03-07 20:16:17
2000,1.0,13,250010013,270010013,0.0,0.4407132922206074,0.007813171810172478,0.7618836669716984,2026-03-07 20:16:17
2000,1.0,15,250010015,270010015,0.0,0.4712863750755787,0.002467275166606107,0.7450872499030083,2026-03-07 20:16:17
2000,1.0,12,250010012,270010012,0.0,0.4344687908887863,0.008473491397444395,0.7712811250239611,2026-03-07 20:16:17
2000,1.0,8,250010008,270010008,0.0,0.4625438340008259,0.012894030589517925,0.8410370000638068,2026-03-07 20:16:17
2000,1.0,17,250010017,270010017,0.0,0.3942247498780489,0.003479281315155367,0.5426040829624981,2026-03-07 20:16:19
2000,1.0,16,250010016,270010016,0.0,0.4229917908087373,0.0037084506839651036,0.5444032920058817,2026-03-07 20:16:19
2000,1.0,19,250010019,270010019,0.0,0.3526354997884482,0.004018906155928768,0.5548830409534276,2026-03-07 20:16:19
2000,1.0,18,250010018,270010018,0.0,0.3646110419649631,0.00568186232719597,0.5320302918553352,2026-03-07 20:16:19
200,0.1,0,70001000,90001000,0.0,0.024810999864712358,0.2454359045590229,0.03316654218360782,2026-03-08 01:46:55
200,0.1,1,70001001,90001001,0.0,0.015095500042662024,0.5719026837069225,0.0555344158783555,2026-03-08 01:46:55
200,0.1,3,70001003,90001003,0.0,0.024933417094871402,0.6825755845922248,0.04046375001780689,2026-03-08 01:46:55
200,0.1,5,70001005,90001005,0.0,0.022966000018641353,0.3949759859443283,0.030781750101596117,2026-03-08 01:46:55
200,0.1,4,70001004,90001004,0.0,0.02561412495560944,0.2924705844627921,0.029969791881740093,2026-03-08 01:46:55
200,0.1,6,70001006,90001006,0.0,0.012600500136613846,0.3657967592886726,0.032377124996855855,2026-03-08 01:46:55
200,0.1,7,70001007,90001007,0.0,0.014766791136935353,0.32148926724924787,0.03597437497228384,2026-03-08 01:46:55
200,0.1,8,70001008,90001008,0.0,0.015037749893963337,2.268000449490336,0.03103349986486137,2026-03-08 01:46:55
