n_samples,epsilon,run_idx,data_seed,pms_mse,pms_runtime_s,timestamp
1000,0.2,10,150002010,0.0,0.15534524992108345,2026-03-07 20:15:28
1000,0.2,14,150002014,0.0,0.13791229110211134,2026-03-07 20:15:28
1000,0.2,13,150002013,0.0,0.14627054193988442,2026-03-07 20:15:28
1000,0.2,12,150002012,0.0,0.16596654197201133,2026-03-07 20:15:28
1000,0.2,15,150002015,0.0,0.13954700017347932,2026-03-07 20:15:28
1000,0.2,16,150002016,0.0,0.13636612496338785,2026-03-07 20:15:28
1000,0.2,17,150002017,0.0,0.13207941688597202,2026-03-07 20:15:28
1000,0.2,19,150002019,0.0,0.12624999997206032,2026-03-07 20:15:28
1000,0.2,18,150002018,0.0,0.12585512502118945,2026-03-07 20:15:29
1000,0.5,0,150005000,0.0,0.16418916615657508,2026-03-07 20:15:32
1000,0.5,1,150005001,0.0,0.15530341607518494,2026-03-07 20:15:32
1000,0.5,4,150005004,0.0,0.14767249999567866,2026-03-07 20:15:32
1000,0.5,6,150005006,0.0,0.12985595897771418,2026-03-07 20:15:32
1000,0.5,3,150005003,0.0,0.14868816710077226,2026-03-07 20:15:32
1000,0.5,2,150005002,0.0,0.13814608403481543,2026-03-07 20:15:32
1000,0.5,7,150005007,0.0,0.15701874997466803,2026-03-07 20:15:32
1000,0.5,5,150005005,0.0,0.2079598328564316,2026-03-07 20:15:32
1000,0.5,8,150005008,0.0,0.12670429097488523,2026-03-07 20:15:33
1000,0.5,9,150005009,0.0,0.14486320805735886,2026-03-07 20:15:33
1000,0.5,11,150005011,0.0,0.1406387910246849,2026-03-07 20:15:33
1000,0.5,10,150005010,0.0,0.13941500009968877,2026-03-07 20:15:33
1000,0.5,12,150005012,0.0,0.17549320892430842,2026-03-07 20:15:33
1000,0.5,13,150005013,0.0,0.15049816714599729,2026-03-07 20:15:33
1000,0.5,14,150005014,0.0,0.17023416701704264,2026-03-07 20:15:33
1000,0.5,15,150005015,0.0,0.16637616697698832,2026-03-07 20:15:33
1000,0.5,16,150005016,0.0,0.15372079191729426,2026-03-07 20:15:33
1000,0.5,17,150005017,0.0,0.11499974993057549,2026-03-07 20:15:33
1000,0.5,19,150005019,0.0,0.10967866703867912,2026-03-07 20:15:33
1000,0.5,18,150005018,0.0,0.12956924992613494,2026-03-07 20:15:33
1000,1.0,1,150010001,0.0,0.1592727079987526,2026-03-07 20:15:37
1000,1.0,0,150010000,0.0,0.1406922920141369,2026-03-07 20:15:37
1000,1.0,2,150010002,0.0,0.14191270805895329,2026-03-07 20:15:37
1000,1.0,5,150010005,0.0,0.16573908389545977,2026-03-07 20:15:37
1000,1.0,3,150010003,0.0,0.16525024990551174,2026-03-07 20:15:37
1000,1.0,4,150010004,0.0,0.14495724998414516,2026-03-07 20:15:37
1000,1.0,6,150010006,0.0,0.17938849981874228,2026-03-07 20:15:37
1000,1.0,7,150010007,0.0,0.14977562497369945,2026-03-07 20:15:37
1000,1.0,8,150010008,0.0,0.1492855418473482,2026-03-07 20:15:37
1000,1.0,9,150010009,0.0,0.13115383312106133,2026-03-07 20:15:37
1000,1.0,14,150010014,0.0,0.1391180418431759,2026-03-07 20:15:37
1000,1.0,13,150010013,0.0,0.13750054105184972,2026-03-07 20:15:37
1000,1.0,12,150010012,0.0,0.1362522910349071,2026-03-07 20:15:37
1000,1.0,10,150010010,0.0,0.2687226249836385,2026-03-07 20:15:37
1000,1.0,11,150010011,0.0,0.13419758388772607,2026-03-07 20:15:37
1000,1.0,15,150010015,0.0,0.15937100001610816,2026-03-07 20:15:37
1000,1.0,17,150010017,0.0,0.1366517918650061,2026-03-07 20:15:38
1000,1.0,16,150010016,0.0,0.14522754098288715,2026-03-07 20:15:38
1000,1.0,18,150010018,0.0,0.13371675019152462,2026-03-07 20:15:38
1000,1.0,19,150010019,0.0,0.13349016709253192,2026-03-07 20:15:38
2000,0.1,0,250001000,0.0,0.44716300000436604,2026-03-07 20:15:44
2000,0.1,1,250001001,0.0,0.48672599997371435,2026-03-07 20:15:44
2000,0.1,2,250001002,0.0,0.4624920419882983,2026-03-07 20:15:44
2000,0.1,3,250001003,0.0,0.4629665839020163,2026-03-07 20:15:44
2000,0.1,4,250001004,0.0,0.4768880419433117,2026-03-07 20:15:44
2000,0.1,5,250001005,0.0,0.44844083301723003,2026-03-07 20:15:44
2000,0.1,7,250001007,0.0,0.4712644589599222,2026-03-07 20:15:44
2000,0.1,6,250001006,0.0,0.4661090411245823,2026-03-07 20:15:44
2000,0.1,8,250001008,0.0,0.49289462505839765,2026-03-07 20:15:47
2000,0.1,9,250001009,0.0,0.4733093329705298,2026-03-07 20:15:47
2000,0.1,12,250001012,0.0,0.47514262492768466,2026-03-07 20:15:47
2000,0.1,10,250001010,0.0,0.5491482079960406,2026-03-07 20:15:47
2000,0.1,11,250001011,0.0,0.39104775013402104,2026-03-07 20:15:47
2000,0.1,13,250001013,0.0,0.5045459170360118,2026-03-07 20:15:47
2000,0.1,15,250001015,0.0,0.5249199590180069,2026-03-07 20:15:48
2000,0.1,14,250001014,0.0,0.6459629170130938,2026-03-07 20:15:48
2000,0.1,16,250001016,0.0,0.5022289578337222,2026-03-07 20:15:49
2000,0.1,18,250001018,0.0,0.49317591614089906,2026-03-07 20:15:49
2000,0.1,17,250001017,0.0,0.5063866251148283,2026-03-07 20:15:49
2000,0.1,19,250001019,0.0,0.4314508750103414,2026-03-07 20:15:50
2000,0.2,6,250002006,0.0,0.515108291991055,2026-03-07 20:15:55
2000,0.2,4,250002004,0.0,0.4968569159973413,2026-03-07 20:15:55
