Algorithm,Eps_modes,Run,Seed,ARI,NMI,Silhouette,MSE,Runtime_s,timestamp
DP-KMeans,0.1,6,1047,0.021777428304290053,0.14399509282904738,1175.3624835093422,0.6697421073913574,2025-12-04 23:07:06
DP-KMeans,0.1,7,1048,0.06801993983510479,0.1752058568190667,1030.7714008334187,0.5603470802307129,2025-12-04 23:07:06
DP-KMeans,0.1,8,1049,0.010041720267501532,0.1002974456196475,1122.7998871824084,0.48955798149108887,2025-12-04 23:07:06
DP-KMeans,0.1,9,1050,0.09554851699644949,0.20538163267826767,1015.2441547771205,0.4875321388244629,2025-12-04 23:07:06
DP-KMeans,0.1,10,1051,0.06789814037641378,0.13794820733777,1012.0691913147817,0.5460638999938965,2025-12-04 23:07:06
DP-KMeans,0.1,12,1053,0.15167946965950893,0.2566951891354034,1061.499911812391,0.5257968902587891,2025-12-04 23:07:06
DP-KMeans,0.1,11,1052,0.0647511398297431,0.19906957823607127,1028.7532591697025,0.5685298442840576,2025-12-04 23:07:06
DP-KMeans,0.1,13,1054,0.07608165507185942,0.17762502844283404,1081.3454458254328,0.5672180652618408,2025-12-04 23:07:07
DP-KMeans,0.1,14,1055,0.0321773797964578,0.18457630491513954,1041.775263647988,0.5327820777893066,2025-12-04 23:07:07
DP-KMeans,0.1,15,1056,0.08421287989446569,0.2179101158815004,1044.3219970573941,0.5042450428009033,2025-12-04 23:07:07
DP-KMeans,0.1,17,1058,0.07948220335203104,0.1640909178791763,1021.0536962437516,0.4385709762573242,2025-12-04 23:07:07
DP-KMeans,0.1,16,1057,0.11559024643608923,0.23345486871330604,1024.8955953847576,0.4486818313598633,2025-12-04 23:07:07
DP-KMeans,0.1,19,1060,0.0029535557577847296,0.07553303556414306,1040.7524993217894,0.38950514793395996,2025-12-04 23:07:07
DP-KMeans,0.1,18,1059,0.033031762234475806,0.1433416212052821,847.197281899892,0.42627906799316406,2025-12-04 23:07:07
DP-KMeans,1.0,2,1043,0.0,0.0,913.7852953281696,0.3703000545501709,2025-12-04 23:07:14
DP-KMeans,1.0,5,1046,0.07454022541538934,0.15277247749249862,865.8992061261946,0.32742786407470703,2025-12-04 23:07:14
DP-KMeans,1.0,0,1041,0.08343702718190313,0.20587895970797288,805.8863462053081,0.48506617546081543,2025-12-04 23:07:14
DP-KMeans,1.0,1,1042,-9.858588924716587e-08,0.0009304935787301771,887.7945494851922,0.43125200271606445,2025-12-04 23:07:14
DP-KMeans,1.0,3,1044,0.0,0.0006662328710104311,974.0649088018263,0.39002203941345215,2025-12-04 23:07:14
DP-KMeans,1.0,4,1045,0.0,0.0,946.0048946597115,0.38988399505615234,2025-12-04 23:07:14
DP-KMeans,1.0,6,1047,0.0,0.0,908.6514253583842,0.3595259189605713,2025-12-04 23:07:14
DP-KMeans,1.0,7,1048,0.05662890210915309,0.14887149892082055,771.5977554049847,0.46953797340393066,2025-12-04 23:07:14
DP-KMeans,1.0,10,1051,0.0006999864431250702,0.030938858103106825,850.7753960237436,0.3690481185913086,2025-12-04 23:07:15
DP-KMeans,1.0,12,1053,0.0,0.0,931.6085854088573,0.3804330825805664,2025-12-04 23:07:15
DP-KMeans,1.0,8,1049,0.00040700895035684063,0.017326156602363096,936.5253471785769,0.4165019989013672,2025-12-04 23:07:15
DP-KMeans,1.0,13,1054,0.0,0.0,1026.4231745776513,0.3699371814727783,2025-12-04 23:07:15
DP-KMeans,1.0,14,1055,0.0,0.0,1063.7948920420106,0.35967111587524414,2025-12-04 23:07:15
DP-KMeans,1.0,9,1050,0.02935650326739139,0.06792060994712933,844.0138870576105,0.4279201030731201,2025-12-04 23:07:15
DP-KMeans,1.0,11,1052,0.0,0.0,1008.1853977386678,0.43428516387939453,2025-12-04 23:07:15
DP-KMeans,1.0,15,1056,0.016062855367527662,0.039652932198678006,904.3466311297892,0.34773778915405273,2025-12-04 23:07:15
DP-KMeans,1.0,17,1058,0.0,0.0006662328710104311,904.1482645391965,0.2638249397277832,2025-12-04 23:07:15
DP-KMeans,1.0,19,1060,0.0008680269594055606,0.024892015101765235,1052.6808556116346,0.28164124488830566,2025-12-04 23:07:15
DP-KMeans,1.0,16,1057,0.003974570563194223,0.058496516614032275,877.7434722077826,0.3458139896392822,2025-12-04 23:07:15
DP-KMeans,1.0,18,1059,0.0010871603182737789,0.034620658308852366,730.2550187478889,0.3533508777618408,2025-12-04 23:07:15
