n_samples,epsilon,run_idx,seed,pms_mse,pms_runtime_s,timestamp
300,1.0,5,2300105,0.0,0.012371874880045652,2026-03-07 20:08:14
300,1.0,6,2300106,0.0,0.012358000036329031,2026-03-07 20:08:14
300,1.0,7,2300107,0.0,0.012415583012625575,2026-03-07 20:08:14
300,1.0,8,2300108,0.0,0.012365292059257627,2026-03-07 20:08:14
300,1.0,9,2300109,0.0,0.012771249981597066,2026-03-07 20:08:14
300,1.0,10,2300110,0.0,0.012361166998744011,2026-03-07 20:08:14
300,1.0,11,2300111,0.0,0.012356417020782828,2026-03-07 20:08:14
300,1.0,12,2300112,0.0,0.012332042213529348,2026-03-07 20:08:14
300,1.0,13,2300113,0.0,0.012334209168329835,2026-03-07 20:08:14
300,1.0,14,2300114,0.0,0.012268833117559552,2026-03-07 20:08:14
300,1.0,15,2300115,0.0,0.012355624930933118,2026-03-07 20:08:15
300,1.0,16,2300116,0.0,0.01229670806787908,2026-03-07 20:08:15
300,1.0,17,2300117,0.0,0.012301707873120904,2026-03-07 20:08:15
300,1.0,18,2300118,0.0,0.012465959182009101,2026-03-07 20:08:15
300,1.0,19,2300119,0.0,0.013028667075559497,2026-03-07 20:08:15
600,0.1,0,2600010,0.0,0.036074208095669746,2026-03-07 20:08:17
600,0.1,1,2600011,0.0,0.03588529210537672,2026-03-07 20:08:17
600,0.1,2,2600012,0.0,0.03612029110081494,2026-03-07 20:08:17
600,0.1,3,2600013,0.0,0.03550279210321605,2026-03-07 20:08:17
600,0.1,4,2600014,0.0,0.035507041960954666,2026-03-07 20:08:17
600,0.1,5,2600015,0.0,0.03541354206390679,2026-03-07 20:08:17
600,0.1,6,2600016,0.0,0.03550787502899766,2026-03-07 20:08:17
600,0.1,7,2600017,0.0,0.03549929196015,2026-03-07 20:08:17
600,0.1,8,2600018,0.0,0.03537550009787083,2026-03-07 20:08:17
600,0.1,9,2600019,0.0,0.035459416918456554,2026-03-07 20:08:17
600,0.1,10,2600020,0.0,0.03551695798523724,2026-03-07 20:08:17
600,0.1,11,2600021,0.0,0.03610645793378353,2026-03-07 20:08:17
600,0.1,12,2600022,0.0,0.035333249950781465,2026-03-07 20:08:18
600,0.1,13,2600023,0.0,0.03556737513281405,2026-03-07 20:08:18
600,0.1,14,2600024,0.0,0.03552920906804502,2026-03-07 20:08:18
600,0.1,15,2600025,0.0,0.035437499871477485,2026-03-07 20:08:18
600,0.1,16,2600026,0.0,0.035372541984543204,2026-03-07 20:08:18
600,0.1,17,2600027,0.0,0.03553049988113344,2026-03-07 20:08:18
600,0.1,18,2600028,0.0,0.03538312506861985,2026-03-07 20:08:18
600,0.1,19,2600029,0.0,0.035669291857630014,2026-03-07 20:08:18
600,0.2,0,2600020,0.0,0.03625712497159839,2026-03-07 20:08:21
600,0.2,1,2600021,0.0,0.03623862494714558,2026-03-07 20:08:21
600,0.2,2,2600022,0.0,0.035607957979664207,2026-03-07 20:08:21
600,0.2,3,2600023,0.0,0.03573808306828141,2026-03-07 20:08:21
600,0.2,4,2600024,0.0,0.03571700002066791,2026-03-07 20:08:21
600,0.2,5,2600025,0.0,0.03573337499983609,2026-03-07 20:08:21
600,0.2,6,2600026,0.0,0.03594216704368591,2026-03-07 20:08:21
600,0.2,7,2600027,0.0,0.03607774991542101,2026-03-07 20:08:21
600,0.2,8,2600028,0.0,0.03586633293889463,2026-03-07 20:08:21
600,0.2,9,2600029,0.0,0.03566624992527068,2026-03-07 20:08:22
600,0.2,10,2600030,0.0,0.036252624820917845,2026-03-07 20:08:22
600,0.2,11,2600031,0.0,0.0357738749589771,2026-03-07 20:08:22
600,0.2,12,2600032,0.0,0.035667749820277095,2026-03-07 20:08:22
600,0.2,13,2600033,0.0,0.03588170791044831,2026-03-07 20:08:22
600,0.2,14,2600034,0.0,0.036205707816407084,2026-03-07 20:08:22
600,0.2,15,2600035,0.0,0.03575395792722702,2026-03-07 20:08:22
600,0.2,16,2600036,0.0,0.0358156249858439,2026-03-07 20:08:22
600,0.2,17,2600037,0.0,0.03576466697268188,2026-03-07 20:08:22
600,0.2,18,2600038,0.0,0.03559408406727016,2026-03-07 20:08:22
600,0.2,19,2600039,0.0,0.035836457973346114,2026-03-07 20:08:22
600,0.5,0,2600050,0.0,0.03618962503969669,2026-03-07 20:08:25
600,0.5,1,2600051,0.0,0.0360002089291811,2026-03-07 20:08:25
600,0.5,2,2600052,0.0,0.035992832854390144,2026-03-07 20:08:25
600,0.5,3,2600053,0.0,0.03575312485918403,2026-03-07 20:08:25
600,0.5,4,2600054,0.0,0.03585604205727577,2026-03-07 20:08:25
600,0.5,5,2600055,0.0,0.035635832929983735,2026-03-07 20:08:25
600,0.5,6,2600056,0.0,0.03579250001348555,2026-03-07 20:08:25
600,0.5,7,2600057,0.0,0.03581820800900459,2026-03-07 20:08:25
600,0.5,8,2600058,0.0,0.03562616603448987,2026-03-07 20:08:25
600,0.5,9,2600059,0.0,0.03574412502348423,2026-03-07 20:08:25
600,0.5,10,2600060,0.0,0.03602654091082513,2026-03-07 20:08:25
600,0.5,11,2600061,0.0,0.0359485000371933,2026-03-07 20:08:26
600,0.5,12,2600062,0.0,0.03580154199153185,2026-03-07 20:08:26
600,0.5,13,2600063,0.0,0.035548499785363674,2026-03-07 20:08:26
600,0.5,14,2600064,0.0,0.03581437491811812,2026-03-07 20:08:26
600,0.5,15,2600065,0.0,0.035603333031758666,2026-03-07 20:08:26
600,0.5,16,2600066,0.0,0.03580908291041851,2026-03-07 20:08:26
600,0.5,17,2600067,0.0,0.03583658393472433,2026-03-07 20:08:26
600,0.5,18,2600068,0.0,0.0357611661311239,2026-03-07 20:08:26
600,0.5,19,2600069,0.0,0.03590095811523497,2026-03-07 20:08:26
600,1.0,0,2600100,0.0,0.03634408302605152,2026-03-07 20:08:29
600,1.0,1,2600101,0.0,0.03601095895282924,2026-03-07 20:08:29
600,1.0,2,2600102,0.0,0.03573808399960399,2026-03-07 20:08:29
600,1.0,3,2600103,0.0,0.035815833834931254,2026-03-07 20:08:29
600,1.0,4,2600104,0.0,0.03626274992711842,2026-03-07 20:08:29
600,1.0,5,2600105,0.0,0.035730583127588034,2026-03-07 20:08:29
600,1.0,6,2600106,0.0,0.035861667012795806,2026-03-07 20:08:29
600,1.0,7,2600107,0.0,0.03586991713382304,2026-03-07 20:08:29
600,1.0,8,2600108,0.0,0.03582762507721782,2026-03-07 20:08:29
600,1.0,9,2600109,0.0,0.036287833005189896,2026-03-07 20:08:29
600,1.0,10,2600110,0.0,0.03664987511001527,2026-03-07 20:08:29
600,1.0,11,2600111,0.0,0.03638770920224488,2026-03-07 20:08:29
600,1.0,12,2600112,0.0,0.03595833410508931,2026-03-07 20:08:29
600,1.0,13,2600113,0.0,0.035705416928976774,2026-03-07 20:08:29
600,1.0,14,2600114,0.0,0.03583595808595419,2026-03-07 20:08:30
600,1.0,15,2600115,0.0,0.03668237500824034,2026-03-07 20:08:30
600,1.0,16,2600116,0.0,0.03601458389312029,2026-03-07 20:08:30
600,1.0,17,2600117,0.0,0.0359322908334434,2026-03-07 20:08:30
600,1.0,18,2600118,0.0,0.03565770806744695,2026-03-07 20:08:30
600,1.0,19,2600119,0.0,0.03576962510123849,2026-03-07 20:08:30
1200,0.1,0,3200010,0.0,0.10417425003834069,2026-03-07 20:08:33
1200,0.1,1,3200011,0.0,0.10292837512679398,2026-03-07 20:08:33
1200,0.1,2,3200012,0.0,0.10361266694962978,2026-03-07 20:08:33
1200,0.1,3,3200013,0.0,0.10343504208140075,2026-03-07 20:08:33
1200,0.1,4,3200014,0.0,0.1060509579256177,2026-03-07 20:08:33
1200,0.1,5,3200015,0.0,0.10362058295868337,2026-03-07 20:08:33
1200,0.1,6,3200016,0.0,0.10436641611158848,2026-03-07 20:08:33
1200,0.1,7,3200017,0.0,0.10573199996724725,2026-03-07 20:08:34
